title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Decoupled spatio-temporal consistency learning for self-supervised tracking,"Yaozong Zheng, Bineng Zhong, Qihua Liang, Ning Li, Shuxiang Song","Y Zheng, B Zhong, Q Liang, N Li, S Song",crossref,Decoupled Spatio-Temporal Consistency Learning for Self-Supervised Tracking,1.000,2025,"Proceedings of the AAAI …, 2025",https://ojs.aaai.org/index.php/AAAI/article/view/33155,"The success of visual tracking has been largely driven by datasets with manual box annotations. However, these box annotations require tremendous human effort, limiting the …",Cited by 53,"https://www.gupiaoq.com/scholar?cites=11690927418189097546&as_sdt=2005&sciodt=0,5&hl=en"
Siammask: A framework for fast online object tracking and segmentation,"W Hu, Q Wang, L Zhang, L Bertinetto…",,,,,2023,"IEEE Transactions on …, 2023",https://ieeexplore.ieee.org/abstract/document/10036241/,"In this article, we introduce SiamMask, a framework to perform both visual object tracking and video object segmentation, in real-time, with the same simple method. We improve the …",Cited by 182,"https://www.gupiaoq.com/scholar?cites=17014305321310476036&as_sdt=2005&sciodt=0,5&hl=en"
Partial siamese with multiscale bi-codec networks for remote sensing image haze removal,"Hang Sun, Zhiming Luo, Dong Ren, Wei Hu, Bo Du, Wen Yang, Jun Wan, Lefei Zhang","H Sun, Z Luo, D Ren, W Hu, B Du…",crossref,Partial Siamese With Multiscale Bi-Codec Networks for Remote Sensing Image Haze Removal,1.000,2023,"… on Geoscience and …, 2023",https://ieeexplore.ieee.org/abstract/document/10268954/,"Recently, the U-shaped networks have been widely explored in remote sensing image dehazing and obtained promising performance. However, most of the existing dehazing …",Cited by 72,"https://www.gupiaoq.com/scholar?cites=17132764847015771832&as_sdt=2005&sciodt=0,5&hl=en"
Sequential fusion based multi-granularity consistency for space-time transformer tracking,"Kun Hu, Wenjing Yang, Wanrong Huang, Xianchen Zhou, Mingyu Cao, Jing Ren, Huibin Tan","K Hu, W Yang, W Huang, X Zhou, M Cao…",crossref,Sequential Fusion Based Multi-Granularity Consistency for Space-Time Transformer Tracking,1.000,2024,"Proceedings of the …, 2024",https://ojs.aaai.org/index.php/AAAI/article/view/29145,"Regarded as a template-matching task for a long time, visual object tracking has witnessed significant progress in space-wise exploration. However, since tracking is performed on …",Cited by 20,"https://www.gupiaoq.com/scholar?cites=5620347669813373908&as_sdt=2005&sciodt=0,5&hl=en"
Visual object tracking across diverse data modalities: A review,"Wang, Mengmeng, Ma, Teli, Xin, Shuo, Hou, Xiaojun, Xing, Jiazheng, Dai, Guang, Wang, Jingdong, Liu, Yong","M Wang, T Ma, S Xin, X Hou, J Xing, G Dai…",page-meta,Visual Object Tracking across Diverse Data Modalities: A Review,1.000,2024,"arXiv preprint arXiv …, 2024",https://arxiv.org/abs/2412.09991,"Visual Object Tracking (VOT) is an attractive and significant research area in computer vision, which aims to recognize and track specific targets in video sequences where the …",Cited by 5,"https://www.gupiaoq.com/scholar?cites=4430126170195083728&as_sdt=2005&sciodt=0,5&hl=en"
Progressive unsupervised learning for visual object tracking,"Qiangqiang Wu, Jia Wan, Antoni B. Chan","Q Wu, J Wan, AB Chan",crossref,Progressive Unsupervised Learning for Visual Object Tracking,1.000,2021,"… of the IEEE/CVF Conference on …, 2021",http://openaccess.thecvf.com/content/CVPR2021/html/Wu_Progressive_Unsupervised_Learning_for_Visual_Object_Tracking_CVPR_2021_paper.html,"In this paper, we propose a progressive unsupervised learning (PUL) framework, which entirely removes the need for annotated training videos in visual tracking. Specifically, we …",Cited by 62,"https://www.gupiaoq.com/scholar?cites=2624175719261749855&as_sdt=2005&sciodt=0,5&hl=en"
Unveiling the power of self-supervision for multi-view multi-human association and tracking,"Wei Feng, Feifan Wang, Ruize Han, Yiyang Gan, Zekun Qian, Junhui Hou, Song Wang","W Feng, F Wang, R Han, Y Gan, Z Qian…",crossref,Unveiling the Power of Self-Supervision for Multi-View Multi-Human Association and Tracking,1.000,2024,"… on Pattern Analysis …, 2024",https://ieeexplore.ieee.org/abstract/document/10684138/,"Multi-view multi-human association and tracking (MvMHAT), is an emerging yet important problem for multi-person scene video surveillance, aiming to track a group of people over …",Cited by 27,"https://www.gupiaoq.com/scholar?cites=16080161357547816240&as_sdt=2005&sciodt=0,5&hl=en"
Monopcc: Photometric-invariant cycle constraint for monocular depth estimation of endoscopic images,"Zhiwei Wang, Ying Zhou, Shiquan He, Ting Li, Fan Huang, Qiang Ding, Xinxia Feng, Mei Liu, Qiang Li","Z Wang, Y Zhou, S He, T Li, F Huang, Q Ding…",crossref,MonoPCC: Photometric-invariant cycle constraint for monocular depth estimation of endoscopic images,1.000,2025,"Medical Image …, 2025",https://www.sciencedirect.com/science/article/pii/S1361841525000817,"Photometric constraint is indispensable for self-supervised monocular depth estimation. It involves warping a source image onto a target view using estimated depth&pose, and then …",Cited by 17,"https://www.gupiaoq.com/scholar?cites=12965401160215628109&as_sdt=2005&sciodt=0,5&hl=en"
An effective motion-centric paradigm for 3d single object tracking in point clouds,"Chaoda Zheng, Xu Yan, Haiming Zhang, Baoyuan Wang, Shenghui Cheng, Shuguang Cui, Zhen Li","C Zheng, X Yan, H Zhang, B Wang…",crossref,An Effective Motion-Centric Paradigm for 3D Single Object Tracking in Point Clouds,1.000,2023,"IEEE transactions on …, 2023",https://ieeexplore.ieee.org/abstract/document/10285389/,3D single object tracking in LiDAR point clouds (LiDAR SOT) plays a crucial role in autonomous driving. Current approaches all follow the Siamese paradigm based on …,Cited by 25,"https://www.gupiaoq.com/scholar?cites=11506315331945273341&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] Self-Supervised Visual Tracking via Image Synthesis and Domain Adversarial Learning,"Gu Geng, Sida Zhou, Jianing Tang, Xinming Zhang, Qiao Liu, Di Yuan","G Geng, S Zhou, J Tang, X Zhang, Q Liu, D Yuan",crossref,Self-Supervised Visual Tracking via Image Synthesis and Domain Adversarial Learning,0.971,2025,"Sensors, 2025",https://www.mdpi.com/1424-8220/25/15/4621,"With the widespread use of sensors in applications such as autonomous driving and intelligent security, stable and efficient target tracking from diverse sensor data has become …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=16391317767011429777&as_sdt=2005&sciodt=0,5&hl=en"
