title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Sketch2anim: Towards transferring sketch storyboards into 3d animation,"Lei Zhong, Chuan Guo, Yiming Xie, Jiawei Wang, Changjian Li","L Zhong, C Guo, Y Xie, J Wang, C Li",crossref,Sketch2Anim: Towards Transferring Sketch Storyboards into 3D Animation,1.000,2025,"ACM Transactions on Graphics …, 2025",https://dl.acm.org/doi/abs/10.1145/3731167,Storyboarding is widely used for creating 3D animations. Animators use the 2D sketches in storyboards as references to craft the desired 3D animations through a trial-and-error …,Cited by 37,"https://www.gupiaoq.com/scholar?cites=18357275575966810414&as_sdt=2005&sciodt=0,5&hl=en"
Roborefer: Towards spatial referring with reasoning in vision-language models for robotics,"Zhou, Enshen, An, Jingkun, Chi, Cheng, Han, Yi, Rong, Shanyu, Zhang, Chi, Wang, Pengwei, Wang, Zhongyuan, Huang, Tiejun, Sheng, Lu, Zhang, Shanghang","E Zhou, J An, C Chi, Y Han, S Rong…",page-meta,RoboRefer: Towards Spatial Referring with Reasoning in Vision-Language Models for Robotics,1.000,2026,"Advances in …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/29416b66c2149872b9d1415a3fd2c5e0-Abstract-Conference.html,"Spatial referring is a fundamental capability of embodied robots to interact with the 3D physical world. However, even with the powerful pretrained VLMs, recent approaches are …",Cited by 33,"https://www.gupiaoq.com/scholar?cites=16405495945507323601&as_sdt=2005&sciodt=0,5&hl=en"
"Rethinking diffusion for text-driven human motion generation: Redundant representations, evaluation, and masked autoregression","Zichong Meng, Yiming Xie, Xiaogang Peng, Zeyu Han, Huaizu Jiang","Z Meng, Y Xie, X Peng, Z Han…",crossref,"Rethinking Diffusion for Text-Driven Human Motion Generation: Redundant Representations, Evaluation, and Masked Autoregression",1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/CVPR2025/html/Meng_Rethinking_Diffusion_for_Text-Driven_Human_Motion_Generation_Redundant_Representations_Evaluation_CVPR_2025_paper.html,"Abstract Since 2023, Vector Quantization (VQ)-based discrete generation methods have rapidly dominated human motion generation, primarily surpassing diffusion-based …",Cited by 84,"https://www.gupiaoq.com/scholar?cites=1068220136693062293&as_sdt=2005&sciodt=0,5&hl=en"
Being-h0: vision-language-action pretraining from large-scale human videos,"Luo, Hao, Feng, Yicheng, Zhang, Wanpeng, Zheng, Sipeng, Wang, Ye, Yuan, Haoqi, Liu, Jiazheng, Xu, Chaoyi, Jin, Qin, Lu, Zongqing","H Luo, Y Feng, W Zhang, S Zheng, Y Wang…",page-meta,Being-H0: Vision-Language-Action Pretraining from Large-Scale Human Videos,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2507.15597,"We introduce Being-H0, a dexterous Vision-Language-Action model (VLA) trained on large-scale human videos. Existing VLAs struggle with complex manipulation tasks requiring high …",Cited by 69,"https://www.gupiaoq.com/scholar?cites=2926257807834498682&as_sdt=2005&sciodt=0,5&hl=en"
Do you have freestyle? expressive humanoid locomotion via audio control,"Li, Zhe, Chi, Cheng, Wei, Yangyang, Zhu, Boan, Huang, Tao, Sun, Zhenguo, Peng, Yibo, Wang, Pengwei, Wang, Zhongyuan, Liu, Fangzhou, Xu, Chang, Zhang, Shanghang","Z Li, C Chi, Y Wei, B Zhu, T Huang…",page-meta,Do You Have Freestyle? Expressive Humanoid Locomotion via Audio Control,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Li_Do_You_Have_Freestyle_Expressive_Humanoid_Locomotion_via_Audio_Control_CVPR_2026_paper.html,"Humans intuitively move to sound, but current humanoid robots lack expressive improvisational capabilities, confined to predefined motions or sparse commands …",Cited by 7,"https://www.gupiaoq.com/scholar?cites=15159415814289288868&as_sdt=2005&sciodt=0,5&hl=en"
TIGeR: Tool-Integrated Geometric Reasoning in Vision-Language Models for Robotics,"Han, Yi, Zhou, Enshen, Rong, Shanyu, An, Jingkun, Wang, Pengwei, Wang, Zhongyuan, Chi, Cheng, Sheng, Lu, Zhang, Shanghang","Y Han, E Zhou, S Rong, J An, P Wang, Z Wang…",page-meta,TIGeR: Tool-Integrated Geometric Reasoning in Vision-Language Models for Robotics,1.000,2025,"arXiv preprint arXiv …, 2025",https://arxiv.org/abs/2510.07181,"Vision-Language Models (VLMs) have shown remarkable capabilities in spatial reasoning, yet they remain fundamentally limited to qualitative precision and lack the computational …",Cited by 15,"https://www.gupiaoq.com/scholar?cites=7321242418208006897&as_sdt=2005&sciodt=0,5&hl=en"
Llamo: Scaling pretrained language models for unified motion understanding and generation with continuous autoregressive tokens,"Li, Zekun, An, Sizhe, Tang, Chengcheng, Guo, Chuan, Shugurov, Ivan, Zhang, Linguang, Zhao, Amy, Sridhar, Srinath, Tao, Lingling, Mittal, Abhay","Z Li, S An, C Tang, C Guo, I Shugurov…",page-meta,LLaMo: Scaling Pretrained Language Models for Unified Motion Understanding and Generation with Continuous Autoregressive Tokens,1.000,2026,"Proceedings of the …, 2026",https://openaccess.thecvf.com/content/CVPR2026/html/Li_LLaMo_Scaling_Pretrained_Language_Models_for_Unified_Motion_Understanding_and_CVPR_2026_paper.html,"Recent progress in large models has led to significant advances in unified multimodal generation and understanding. However, the development of models that unify motion …",Cited by 3,"https://www.gupiaoq.com/scholar?cites=10865841356678763686&as_sdt=2005&sciodt=0,5&hl=en"
Vimorag: Video-based retrieval-augmented 3d motion generation for motion language models,"Xu, Haidong, Xu, Guangwei, Zheng, Zhedong, Zhu, Xiatian, Ji, Wei, Li, Xiangtai, Guo, Ruijie, Zhang, Meishan, zhang, Min, Fei, Hao","H Xu, G Xu, Z Zheng, X Zhu, W Ji, X Li…",page-meta,VimoRAG: Video-based Retrieval-augmented 3D Motion Generation for Motion Language Models,1.000,2026,"Advances in …, 2026",https://proceedings.neurips.cc/paper_files/paper/2025/hash/312237ba5de457df7bc8f88d4de21c4c-Abstract-Conference.html,"This paper introduces VimoRAG, a novel video-based retrieval-augmented motion generation framework for motion large language models (LLMs). As motion LLMs face …",Cited by 4,"https://www.gupiaoq.com/scholar?cites=2708228281845131930&as_sdt=2005&sciodt=0,5&hl=en"
ReAlign: text-to-motion generation via step-aware reward-guided alignment,"Wanjiang Weng, Xiaofeng Tan, Junbo Wang, Guo-Sen Xie, Pan Zhou, Hongsong Wang","W Weng, X Tan, J Wang, GS Xie, P Zhou…",openalex,ReAlign: Text-to-Motion Generation via Step-Aware Reward-Guided Alignment,1.000,2026,"Proceedings of the AAAI …, 2026",https://ojs.aaai.org/index.php/AAAI/article/view/38035,"Text-to-motion generation, which synthesizes 3D human motions from text inputs, holds immense potential for applications in gaming, film, and robotics. Recently, diffusion-based …",Cited by 6,"https://www.gupiaoq.com/scholar?cites=13517821652324503973&as_sdt=2005&sciodt=0,5&hl=en"
StyleMotif: Multi-Modal Motion Stylization using Style-Content Cross Fusion,"Ziyu Guo, Yizhak Ben-Shabat, Young Yoon Lee, Joseph Liu, Victor Zordan, Mubbasir Kapadia","Z Guo, YY Lee, J Liu, Y Ben-Shabat…",crossref,StyleMotif: Multi-Modal Motion Stylization using Style-Content Cross Fusion,1.000,2025,"Proceedings of the …, 2025",https://openaccess.thecvf.com/content/ICCV2025/html/Guo_StyleMotif_Multi-Modal_Motion_Stylization_using_Style-Content_Cross_Fusion_ICCV_2025_paper.html,"We present StyleMotif, a novel Stylized Motion Latent Diffusion model, generating motion conditioned on both content and style from multiple modalities. Unlike existing approaches …",Cited by 9,"https://www.gupiaoq.com/scholar?cites=3318940092805013008&as_sdt=2005&sciodt=0,5&hl=en"
