title,authors,authors_original,authors_source,authors_metadata_title,authors_match_score,year,venue,link,snippet,cited_by_text,cited_by_url
Crossing the reality gap: A survey on sim-to-real transferability of robot controllers in reinforcement learning,"Erica Salvato, Gianfranco Fenu, Eric Medvet, Felice Andrea Pellegrino","E Salvato, G Fenu, E Medvet, FA Pellegrino",openalex,Crossing the Reality Gap: A Survey on Sim-to-Real Transferability of Robot Controllers in Reinforcement Learning,1.000,2021,"IEEE Access, 2021",https://ieeexplore.ieee.org/abstract/document/9606868/,The growing demand for robots able to act autonomously in complex scenarios has widely accelerated the introduction of Reinforcement Learning (RL) in robots control applications …,Cited by 323,"https://www.gupiaoq.com/scholar?cites=14505335810954988346&as_sdt=2005&sciodt=0,5&hl=en"
Neural window fully-connected crfs for monocular depth estimation,"Weihao Yuan, Xiaodong Gu, Zuozhuo Dai, Siyu Zhu, Ping Tan","W Yuan, X Gu, Z Dai, S Zhu…",openalex,Neural Window Fully-connected CRFs for Monocular Depth Estimation,1.000,2022,"Proceedings of the IEEE …, 2022",http://openaccess.thecvf.com/content/CVPR2022/html/Yuan_Neural_Window_Fully-Connected_CRFs_for_Monocular_Depth_Estimation_CVPR_2022_paper.html,Estimating the accurate depth from a single image is challenging since it is inherently ambiguous and ill-posed. While recent works design increasingly complicated and powerful …,Cited by 633,"https://www.gupiaoq.com/scholar?cites=16177900808014938089&as_sdt=2005&sciodt=0,5&hl=en"
"Review of deep reinforcement learning-based object grasping: Techniques, open challenges, and recommendations","Marwan Qaid Mohammed, Lee Chung Kwek, Shing Chyi Chua","MQ Mohammed, KL Chung, CS Chyi",openalex,"Review of Deep Reinforcement Learning-Based Object Grasping: Techniques, Open Challenges, and Recommendations",1.000,2020,"IEEE access, 2020",https://ieeexplore.ieee.org/abstract/document/9210095/,The motivation behind our work is to review and analyze the most relevant studies on deep reinforcement learning-based object manipulation. Various studies are examined through a …,Cited by 148,"https://www.gupiaoq.com/scholar?cites=10143084153599932168&as_sdt=2005&sciodt=0,5&hl=en"
A task-adaptive deep reinforcement learning framework for dual-arm robot manipulation,"Yuanzhe Cui, Zhipeng Xu, Lou Zhong, Pengjie Xu, Yichao Shen, Qirong Tang","Y Cui, Z Xu, L Zhong, P Xu, Y Shen…",openalex,A Task-Adaptive Deep Reinforcement Learning Framework for Dual-Arm Robot Manipulation,1.000,2024,"IEEE Transactions on …, 2024",https://ieeexplore.ieee.org/abstract/document/10409120/,Closed-chain manipulation occurs when several robot arms perform tasks in cooperation. It is complex to control a dual-arm system because it requires flexible and adaptable operation …,Cited by 76,"https://www.gupiaoq.com/scholar?cites=12761138862699452953&as_sdt=2005&sciodt=0,5&hl=en"
Object detection recognition and robot grasping based on machine learning: A survey,"Qiang Bai, Shaobo Li, Jing Yang, Qisong Song, Zhiang Li, Xingxing Zhang","Q Bai, S Li, J Yang, Q Song, Z Li, X Zhang",openalex,Object Detection Recognition and Robot Grasping Based on Machine Learning: A Survey,1.000,2020,"IEEE access, 2020",https://ieeexplore.ieee.org/abstract/document/9212350/,"With the rapid development of machine learning, its powerful function in the machine vision field is increasingly reflected. The combination of machine vision and robotics to achieve the …",Cited by 213,"https://www.gupiaoq.com/scholar?cites=15345386604509502254&as_sdt=2005&sciodt=0,5&hl=en"
Federated transfer reinforcement learning for autonomous driving,"Xinle Liang, Yang Liu, Tianjian Chen, Ming Liu, Qiang Yang","X Liang, Y Liu, T Chen, M Liu, Q Yang",openalex,Federated Transfer Reinforcement Learning for Autonomous Driving,1.000,2022,"Federated and transfer learning, 2022",https://link.springer.com/chapter/10.1007/978-3-031-11748-0_15,Reinforcement learning (RL) is widely used in autonomous driving tasks and training RL models typically involves in a multi-step process: pre-training RL models on simulators …,Cited by 211,"https://www.gupiaoq.com/scholar?cites=16752088364248135661&as_sdt=2005&sciodt=0,5&hl=en"
"Advancements in deep reinforcement learning and inverse reinforcement learning for robotic manipulation: toward trustworthy, interpretable, and explainable artificial …","Recep Özalp, Ayşegül Uçar, Cüneyt Güzelіș","R Ozalp, A Ucar, C Guzelis",openalex,"Advancements in Deep Reinforcement Learning and Inverse Reinforcement Learning for Robotic Manipulation: Toward Trustworthy, Interpretable, and Explainable Artificial Intelligence",0.962,2024,"IEEE Access, 2024",https://ieeexplore.ieee.org/abstract/document/10493015/,This article presents a literature review of the past five years of studies using Deep Reinforcement Learning (DRL) and Inverse Reinforcement Learning (IRL) in robotic …,Cited by 40,"https://www.gupiaoq.com/scholar?cites=13185414129356627544&as_sdt=2005&sciodt=0,5&hl=en"
A Collision-free path planning approach based on rule guided lazy-PRM with repulsion field for gantry welding robots,"Xin Zhou, Xuewu Wang, Zuhong Xie, Jin Gao, Fang Li, Xingsheng Gu","X Zhou, X Wang, Z Xie, J Gao, F Li, X Gu",openalex,A Collision-free path planning approach based on rule guided lazy-PRM with repulsion field for gantry welding robots,1.000,2024,"Robotics and Autonomous …, 2024",https://www.sciencedirect.com/science/article/pii/S0921889024000162,"In shipbuilding, various complex welding workpieces and large flexible workspaces bring great challenges to the automated intelligent welding system. In order to maintain the …",Cited by 38,"https://www.gupiaoq.com/scholar?cites=9990993472759326966&as_sdt=2005&sciodt=0,5&hl=en"
[HTML] Review of learning-based robotic manipulation in cluttered environments,"Marwan Qaid Mohammed, Lee Chung Kwek, Shing Chyi Chua, Arafat Al-Dhaqm, Saeid Nahavandi, Taiseer Abdalla Elfadil Eisa, Muhammad Fahmi Miskon, Mohammed Nasser Al-Mhiqani, Abdulalem Ali, Mohammed Abaker, Esmail Ali Alandoli","MQ Mohammed, LC Kwek, SC Chua, A Al-Dhaqm…",crossref,Review of Learning-Based Robotic Manipulation in Cluttered Environments,0.966,2022,"Sensors, 2022",https://www.mdpi.com/1424-8220/22/20/7938,"Robotic manipulation refers to how robots intelligently interact with the objects in their surroundings, such as grasping and carrying an object from one place to another. Dexterous …",Cited by 50,"https://www.gupiaoq.com/scholar?cites=17558749878907995642&as_sdt=2005&sciodt=0,5&hl=en"
Haisor: Human-aware Indoor Scene Optimization via Deep Reinforcement Learning,"Jia-Mu Sun, Jie Yang, Kaichun Mo, Yu‐Kun Lai, Leonidas Guibas, Lin Gao","JM Sun, J Yang, K Mo, YK Lai, L Guibas…",openalex,<scp>Haisor</scp> : Human-aware Indoor Scene Optimization via Deep Reinforcement Learning,0.950,2024,"ACM Transactions on …, 2024",https://dl.acm.org/doi/abs/10.1145/3632947,3D scene synthesis facilitates and benefits many real-world applications. Most scene generators focus on making indoor scenes plausible via learning from training data and …,Cited by 30,"https://www.gupiaoq.com/scholar?cites=17753154401844037535&as_sdt=2005&sciodt=0,5&hl=en"
