fellow_name,citing_paper,cited_my_paper,citing_paper_year,citing_paper_link,matched_author_name,fellow_source
Jia Li,NTIRE 2023 challenge on image super-resolution (x4): Methods and results,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://openaccess.thecvf.com/content/CVPR2023W/NTIRE/html/Zhang_NTIRE_2023_Challenge_on_Image_Super-Resolution_x4_Methods_and_Results_CVPRW_2023_paper.html,Jia Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Peng Li,Align3r: Aligned monocular depth estimation for dynamic videos,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://openaccess.thecvf.com/content/CVPR2025/html/Lu_Align3R_Aligned_Monocular_Depth_Estimation_for_Dynamic_Videos_CVPR_2025_paper.html,Peng Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Wenping Wang,Align3r: Aligned monocular depth estimation for dynamic videos,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://openaccess.thecvf.com/content/CVPR2025/html/Lu_Align3R_Aligned_Monocular_Depth_Estimation_for_Dynamic_Videos_CVPR_2025_paper.html,Wenping Wang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Tao Xie,Multi-view reconstruction via sfm-guided monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,http://openaccess.thecvf.com/content/CVPR2025/html/Guo_Multi-view_Reconstruction_via_SfM-guided_Monocular_Depth_Estimation_CVPR_2025_paper.html,Tao Xie,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Tao Jiang,Sscbench: A large-scale 3d semantic scene completion benchmark for autonomous driving,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://ieeexplore.ieee.org/abstract/document/10802143/,Tao Jiang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Broadcast_Technology_Society
Bo Li,Depthmaster: Taming diffusion models for monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2026,https://ieeexplore.ieee.org/abstract/document/11475488/,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Marc Pollefeys,Know your neighbors: Improving single-view reconstruction via spatial vision-language reasoning,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,http://openaccess.thecvf.com/content/CVPR2024/html/Li_Know_Your_Neighbors_Improving_Single-View_Reconstruction_via_Spatial_Vision-Language_Reasoning_CVPR_2024_paper.html,Marc Pollefeys,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Fatih Porikli,Mamo: Leveraging memory and attention for monocular video depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,http://openaccess.thecvf.com/content/ICCV2023/html/Yasarla_MAMo_Leveraging_Memory_and_Attention_for_Monocular_Video_Depth_Estimation_ICCV_2023_paper.html,Fatih Porikli,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Qi Bi,A Simple yet Mighty Hartley Diffusion Versatilist for Generalizable Dense Vision Tasks,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Bi_A_Simple_yet_Mighty_Hartley_Diffusion_Versatilist_for_Generalizable_Dense_ICCV_2025_paper.html,Qi Bi,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Fatih Porikli,Futuredepth: Learning to predict the future improves video depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://link.springer.com/chapter/10.1007/978-3-031-72652-1_26,Fatih Porikli,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Xin Li,ViT-Split: Unleashing the Power of Vision Foundation Models via Efficient Splitting Heads,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://openaccess.thecvf.com/content/ICCV2025/html/Li_ViT-Split_Unleashing_the_Power_of_Vision_Foundation_Models_via_Efficient_ICCV_2025_paper.html,Xin Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Fatih Porikli,Ega-depth: Efficient guided attention for self-supervised multi-camera depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://openaccess.thecvf.com/content/CVPR2023W/WAD/html/Shi_EGA-Depth_Efficient_Guided_Attention_for_Self-Supervised_Multi-Camera_Depth_Estimation_CVPRW_2023_paper.html,Fatih Porikli,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Tao Jiang,SSCBench: Monocular 3D semantic scene completion benchmark in street views,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://openreview.net/forum?id=8fJEOri51F,Tao Jiang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Broadcast_Technology_Society
Bo Li,The second monocular depth estimation challenge,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://openaccess.thecvf.com/content/CVPR2023W/MDEC/html/Spencer_The_Second_Monocular_Depth_Estimation_Challenge_CVPRW_2023_paper.html,Bo Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Yong Liu,Self-supervised event-based monocular depth estimation using cross-modal consistency,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://ieeexplore.ieee.org/abstract/document/10342434/,Yong Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Wei ZHang,C2p-net: Comprehensive depth map to planar depth conversion for room layout estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://ieeexplore.ieee.org/abstract/document/10878466/,Wei Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Jie Chen,Edge devices friendly self-supervised monocular depth estimation via knowledge distillation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://ieeexplore.ieee.org/abstract/document/10306272/,Jie Chen,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Circuits_and_Systems_Society
Lei Zhang,Self-supervised monocular depth estimation with large kernel attention and dynamic scene perception,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://www.sciencedirect.com/science/article/pii/S1047320325000276,Lei Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Bernt Schiele,[PDF] Test-time domain adaptation for monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://malefikus.github.io/data/ICRA2023.pdf,Bernt Schiele,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Fatih Porikli,Tosa: Token selective attention for efficient vision transformers,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://arxiv.org/abs/2406.08816,Fatih Porikli,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jia Li,[HTML] A dynamic visual SLAM system incorporating object tracking for UAVs,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://www.mdpi.com/2504-446x/8/6/222,Jia Li,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Jing Sun,MSINet: Mantis Shrimp Vision-Inspired Network for Camouflaged Object Detection,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2026,https://www.sciencedirect.com/science/article/pii/S0957417426015940,Jing Sun,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Control_Systems_Society
Shugong Xu,Metric-solver: Sliding anchored metric depth estimation from a single image,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://arxiv.org/abs/2504.12103,Shugong Xu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Zhe Chen,High-Order Multi-Scale Attention and Vertical Discriminator Enhanced CLIP for Monocular Depth Estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://ieeexplore.ieee.org/abstract/document/10898074/,Zhe Chen,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Power_Electronics_Society
Yan Zhang,GRdepth: Enrich feature with global information and self-iterative regulation network for monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://www.sciencedirect.com/science/article/pii/S1051200425004567,Yan Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Xin Zhang,ER-LoRA: Effective-Rank Guided Adaptation for Weather-Generalized Depth Estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2025,https://arxiv.org/abs/2509.00665,Xin Zhang,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Electron_Devices_Society
Yong Liu,FG-depth: flow-guided unsupervised monocular depth estimation,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2023,https://arxiv.org/abs/2301.08414,Yong Liu,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Communications_Society
Abdulmotaleb El Saddik,Self-supervised monocular depth estimation with self-distillation and dense skip connection,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://www.sciencedirect.com/science/article/pii/S1077314224001292,Abdulmotaleb El Saddik,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
Daniel Zeng,Learning cross-modality interaction for robust depth perception of autonomous driving,NeW CRFs: Neural Window Fully-connected CRFs for Monocular Depth Estimation,2024,https://dl.acm.org/doi/abs/10.1145/3650039,Daniel Zeng,https://en.wikipedia.org/wiki/List_of_fellows_of_IEEE_Computer_Society
